product_id,category_id,category_code,brand,price
1000978,2053013555631882655,electronics.smartphone,samsung,301.14
1001588,2053013555631882655,electronics.smartphone,meizu,127.86
1001618,2053013555631882655,electronics.smartphone,apple,706.42
1002062,2053013555631882655,electronics.smartphone,samsung,107.59
1002098,2053013555631882655,electronics.smartphone,samsung,370.64
1002099,2053013555631882655,electronics.smartphone,samsung,414.53
1002100,2053013555631882655,electronics.smartphone,samsung,370.64
1002101,2053013555631882655,electronics.smartphone,samsung,370.64
1002103,2053013555631882655,electronics.smartphone,samsung,370.41
1002225,2053013555631882655,electronics.smartphone,philips,82.37
1002367,2053013555631882655,electronics.smartphone,meizu,205.07
1002398,2053013555631882655,electronics.smartphone,sony,251.83
1002482,2053013555631882655,electronics.smartphone,meizu,127.76
1002484,2053013555631882655,electronics.smartphone,meizu,179.34
1002494,2053013555631882655,electronics.smartphone,sony,306.65
1002524,2053013555631882655,electronics.smartphone,apple,531.26
1002525,2053013555631882655,electronics.smartphone,apple,720.48
1002528,2053013555631882655,electronics.smartphone,apple,580.2
1002531,2053013555631882655,electronics.smartphone,apple,720.46
1002532,2053013555631882655,electronics.smartphone,apple,566.04
1002535,2053013555631882655,electronics.smartphone,apple,643.23
1002536,2053013555631882655,electronics.smartphone,apple,566.04
1002538,2053013555631882655,electronics.smartphone,apple,592.01
1002540,2053013555631882655,electronics.smartphone,apple,465.91
1002542,2053013555631882655,electronics.smartphone,apple,486.53
1002544,2053013555631882655,electronics.smartphone,apple,458.28
1002545,2053013555631882655,electronics.smartphone,apple,591.75
1002547,2053013555631882655,electronics.smartphone,apple,473.37
1002548,2053013555631882655,electronics.smartphone,apple,526.4
1002549,2053013555631882655,electronics.smartphone,apple,563.18
1002628,2053013555631882655,electronics.smartphone,apple,410.82
1002629,2053013555631882655,electronics.smartphone,apple,358.31
1002633,2053013555631882655,electronics.smartphone,apple,358.31
1002634,2053013555631882655,electronics.smartphone,apple,385.83
1002666,2053013555631882655,electronics.smartphone,honor,231.64
1002786,2053013555631882655,electronics.smartphone,apple,398.98
1002796,2053013555631882655,electronics.smartphone,apple,391.26
1002827,2053013555631882655,electronics.smartphone,leeco,345.36
1002881,2053013555631882655,electronics.smartphone,xiaomi,253.79
1002906,2053013555631882655,electronics.smartphone,samsung,257.38
1002923,2053013555631882655,electronics.smartphone,huawei,170.67
1002929,2053013555631882655,electronics.smartphone,micromax,84.52
1002974,2053013555631882655,electronics.smartphone,huawei,149.3
1002987,2053013555631882655,electronics.smartphone,xiaomi,202.59
1003013,2053013555631882655,electronics.smartphone,huawei,179.9
1003073,2053013555631882655,electronics.smartphone,meizu,150.66
1003074,2053013555631882655,electronics.smartphone,meizu,134.39
1003096,2053013555631882655,electronics.smartphone,meizu,307.97
1003102,2053013555631882655,electronics.smartphone,oppo,180.16
1003153,2053013555631882655,electronics.smartphone,huawei,149.3
1003176,2053013555631882655,electronics.smartphone,xiaomi,434.29
1003177,2053013555631882655,electronics.smartphone,nokia,127.36
1003184,2053013555631882655,electronics.smartphone,huawei,128.19
1003209,2053013555631882655,electronics.smartphone,samsung,218.77
1003230,2053013555631882655,electronics.smartphone,nokia,180.08
1003281,2053013555631882655,electronics.smartphone,samsung,586.16
1003293,2053013555631882655,electronics.smartphone,xiaomi,509.34
1003304,2053013555631882655,electronics.smartphone,apple,591.16
1003305,2053013555631882655,electronics.smartphone,apple,598.36
1003306,2053013555631882655,electronics.smartphone,apple,577.89
1003307,2053013555631882655,electronics.smartphone,apple,741.26
1003308,2053013555631882655,electronics.smartphone,apple,773.96
1003309,2053013555631882655,electronics.smartphone,apple,823.42
1003310,2053013555631882655,electronics.smartphone,apple,720.48
1003311,2053013555631882655,electronics.smartphone,apple,782.72
1003312,2053013555631882655,electronics.smartphone,apple,717.62
1003314,2053013555631882655,electronics.smartphone,apple,939.81
1003315,2053013555631882655,electronics.smartphone,apple,932.46
1003316,2053013555631882655,electronics.smartphone,apple,928.34
1003317,2053013555631882655,electronics.smartphone,apple,928.18
1003318,2053013555631882655,electronics.smartphone,apple,1029.37
1003319,2053013555631882655,electronics.smartphone,apple,1067.98
1003328,2053013555631882655,electronics.smartphone,nokia,573.17
1003339,2053013555631882655,electronics.smartphone,xiaomi,202.19
1003347,2053013555631882655,electronics.smartphone,xiaomi,119.69
1003391,2053013555631882655,electronics.smartphone,meizu,406.09
1003416,2053013555631882655,electronics.smartphone,meizu,408.71
