event_time,event_type,product_id,user_id,user_session
2019-11-01 00:20:59 UTC,view,2701657,512796932,d9b433f8-64a8-430b-b290-f25ab109b39d
2019-11-01 00:40:40 UTC,view,3601127,512885889,f6adcec3-804c-4c54-90dc-3242c8b2d757
2019-11-01 00:41:20 UTC,view,3601509,549391310,f2c48923-a3f0-4a27-9efc-5c29fc7e894e
2019-11-01 00:53:47 UTC,view,28720888,512669930,ae7317e3-0a0c-40fb-8ab7-50fbe76861bb
2019-11-01 00:55:55 UTC,view,3701495,517445703,c429ddbc-e895-4455-8b84-2b0f38bc1821
2019-11-01 00:56:41 UTC,view,3701103,517445703,c429ddbc-e895-4455-8b84-2b0f38bc1821
2019-11-01 00:58:52 UTC,view,3701141,533729893,57a75537-5ee8-4d56-9667-ae805d0bfb97
2019-11-01 00:59:01 UTC,view,3701492,517445703,c429ddbc-e895-4455-8b84-2b0f38bc1821
2019-11-01 00:59:55 UTC,view,13900927,513409854,62aee66b-5a4b-40d3-843a-cd17f27c6b56
2019-11-01 01:00:20 UTC,view,1004870,514303773,0f802658-48b8-435c-8eb9-7920e8b60477
2019-11-01 01:01:08 UTC,view,1801690,514235416,f649e34c-462c-4ea3-9601-83aa284da5a4
2019-11-01 01:02:47 UTC,view,3701148,517445703,c429ddbc-e895-4455-8b84-2b0f38bc1821
2019-11-01 01:28:13 UTC,view,1004730,517566762,cfa3ed41-d2ef-4526-8980-fc1493004978
2019-11-01 01:28:36 UTC,view,39800241,513953597,5c99658d-3b1c-49ca-974b-7ee9ef672945
2019-11-01 01:31:02 UTC,view,5000808,518645833,2190f244-29c6-4063-8431-88af928f4953
2019-11-01 01:31:20 UTC,view,14701162,563726633,9aef8bdb-d7bd-4335-8f47-d4b5669244e3
2019-11-01 01:35:24 UTC,view,1802008,512437402,4018ed98-3711-4d99-9b19-facfc6b8fcb7
2019-11-01 01:39:54 UTC,view,2701646,513252621,a035e63d-960f-4d67-b28d-978fb27dc111
2019-11-01 01:41:28 UTC,view,1005115,562447372,291e3872-7bf7-4014-a9d4-11fe0be4f186
2019-11-01 01:47:15 UTC,view,1004833,519278616,096bee1b-e3a1-4bfd-a758-cdc55d1edb5c
2019-11-01 01:49:22 UTC,view,14701075,522470541,f63906d3-094e-4401-9e45-f6593534f064
2019-11-01 01:51:28 UTC,view,4801583,512891781,d802a966-9419-4b68-8902-e00855aac0e9
2019-11-01 01:54:12 UTC,view,1005159,515362816,8e9232a2-205a-464b-85a8-3f71a5e87c01
2019-11-01 01:54:33 UTC,view,1005105,515458533,bae7c054-633a-4123-a3b9-5353a18825ec
2019-11-01 01:56:47 UTC,view,28300521,566190908,d8c04b8e-fb2f-4990-a662-8e7b2c80bf38
2019-11-01 01:57:56 UTC,view,14100187,512405542,7640c3ef-691f-45a6-8775-ec88f064545a
2019-11-01 02:01:33 UTC,view,1004565,513001261,d2f5d3e8-9e22-4120-9ba5-8463ac150ca1
2019-11-01 02:03:47 UTC,view,3900980,512539609,7b3d93c7-35f8-40f6-a0d2-01bb879c96ca
2019-11-01 02:08:23 UTC,view,1005256,515051763,e09fcb9d-d5fe-4737-ab2f-a26111a1a9ce
2019-11-01 02:09:48 UTC,view,1802037,514197022,b72f1c85-9089-48ff-8406-f5d9241b3359
2019-11-01 02:12:36 UTC,view,11700218,512542757,3c47d9c7-f121-4d31-90ce-71f394f1c087
2019-11-01 02:17:18 UTC,view,11700128,512542757,3c47d9c7-f121-4d31-90ce-71f394f1c087
2019-11-01 02:21:05 UTC,view,1801739,548299732,edbebad2-121f-4966-9f4b-cf3875e4e7d7
2019-11-01 02:31:12 UTC,view,5100563,518373642,59d728c7-b680-45c4-96ca-3e786a9cf82f
2019-11-01 02:35:49 UTC,view,14700775,564749784,e81724e7-44e3-4f0b-8113-4c89094590f1
2019-11-01 02:38:39 UTC,view,1004838,551086928,7dd05987-5e72-4840-9127-c06d2f12a596
2019-11-01 02:43:15 UTC,view,1307339,535147766,4fdb953c-b5fc-4942-9acf-73039e7dff68
2019-11-01 02:43:36 UTC,view,1307339,535147766,4fdb953c-b5fc-4942-9acf-73039e7dff68
2019-11-01 02:51:49 UTC,view,3801203,514127132,e46bffd0-fe44-41fc-b0e5-e5578a621f88
2019-11-01 02:54:42 UTC,view,17800202,515784126,752796d6-1ec3-4bc4-a570-7994ba4b303b
2019-11-01 02:56:37 UTC,view,1005115,562447372,7bbf3a43-5c6c-4e5d-a9ec-89efb7ff709d
2019-11-01 02:57:47 UTC,view,1307103,536399452,1c643bc8-d9cb-41e9-8ebb-123c06654bf9
2019-11-01 02:58:38 UTC,view,3800839,514127132,e46bffd0-fe44-41fc-b0e5-e5578a621f88
2019-11-01 02:59:10 UTC,view,1005098,530337676,3c83884c-4079-4fde-9153-2b84d2a89249
2019-11-01 03:00:37 UTC,view,1004858,530578145,0bb3d40b-61ab-46e5-90fc-44f22dca2969
2019-11-01 03:04:17 UTC,view,1004839,513386644,5627eeaa-2b62-4226-b7c3-8201cdca4e19
2019-11-01 03:12:22 UTC,view,1005161,513386644,5627eeaa-2b62-4226-b7c3-8201cdca4e19
2019-11-01 03:18:03 UTC,view,1801849,514187757,df8e3bdb-7630-48d3-965c-5fd184c1dde9
2019-11-01 03:18:16 UTC,view,1004565,530337676,bfd43599-916b-4e8d-848d-6010a0b4a156
